State,Millionaires,Population
Connecticut,86,35
Delaware,18,8
Maine,22,13
Massachusetts,141,64
New Hampshire,26,13
New Jersey,207,87
New York,368,193
Pennsylvania,228,124
Rhode Island,20,11
Vermont,11,6
